"group.1","group.2","group.3","group.4","Metastudy","original study","Species","met.rate.Jh","mass.mg","temp.C"
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.006412,2.444,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.009326,2.306,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.009326,2.508,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.006995,2.578,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.016904,2.636,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.012241,2.662,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.003497,2.348,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.102008,156.64,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.104922,83.94,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.128238,76.9,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.139896,85.01,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.128238,113.38,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.131153,131.5,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.189443,175.15,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.1807,104.17,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.183614,80.95,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.087435,80.47,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.110751,66.1,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.064119,68.98,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.221503,50.48,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.087435,63.59,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.241904,72.21,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.154469,55.49,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.1807,50.5,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.186529,59.2,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.154469,45.26,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.102008,43.7,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.154469,116.79,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.142811,194.7,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.163213,95.81,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.005246,2.85,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.005246,2.87,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.102008,43.25,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.177785,45.61,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.273964,68.01,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.273964,55.24,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.306023,48.27,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.26522,70.61,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.151554,45.52,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus oblongopunctatus",0.192358,59.49,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.17,171.66,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.2,162.43,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.19,169.72,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.2,148.92,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Harpalus",0.11,102.6,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.09,136.5,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.14,116.31,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.07,121.06,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Harpalus",0.13,94.62,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.034974,12.16,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.046632,11.9,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.029145,13.98,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.157383,203.87,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.169042,136.01,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.186529,153.55,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.128238,114.94,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.093264,189.31,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.078692,36.44,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.09035,40.7,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.145725,45.8,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.128238,57,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.169042,38.97,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.006412,2.218,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.004372,2.23,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.010201,2.24,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.008744,16.12,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.064119,14.4,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.002915,11.66,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.029145,15.46,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","PSeudophonus rufipes",0.151554,132.76,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.055376,11.76,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.006995,2.436,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.005246,2.435,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.052461,9.29,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.189443,127,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.002915,2.532,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.004372,2.196,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.096179,54.87,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.107837,70.43,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.064119,16.29,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.154469,94.63,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.358485,62.41,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.037889,18.15,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.046632,14.72,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.119495,79.76,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus oblongopunctatus",0.166127,60.46,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.160298,63.21,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.084521,76.87,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.072863,24.12,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.14864,71.52,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.052461,15.25,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.011658,15.46,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.276878,75.14,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.052461,23.33,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Poecilus versicolor",0.075777,87.67,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.023316,15.31,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.005829,16.68,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.029145,18.14,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.017487,15.38,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.034974,18.45,5
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.163213,56,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.020402,52.99,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.26522,141.45,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.215674,166.96,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.332254,79.33,10
