"db","query","phylum","class","order","family"
"ncbi","Bembidion","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Pterostichus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Poecilus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Pseudophonus",NA,NA,NA,NA
"ncbi","Calathus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Nebria","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Harpalus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Platynus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Loricera","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Ocypus","Arthropoda","Insecta","Coleoptera","Staphylinidae"
"ncbi","Abax","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Carabus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Notiophilus","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Philonthus","Arthropoda","Insecta","Coleoptera","Staphylinidae"
"ncbi","Dyschirius","Arthropoda","Insecta","Coleoptera","Carabidae"
"ncbi","Gryllus","Arthropoda","Insecta","Orthoptera","Gryllidae"
"ncbi","Nemobius","Arthropoda","Insecta","Orthoptera","Gryllidae"
"ncbi","Aporrectodea","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Lumbricus","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Dendrobaena","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Eisenia","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Allolobophora","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Eiseniella","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Glossoscolex","Annelida","Clitellata","Crassiclitellata","Glossoscolecidae"
"ncbi","Octolasium","Annelida","Clitellata","Crassiclitellata","Lumbricidae"
"ncbi","Megascolex","Annelida","Clitellata","Crassiclitellata","Megascolecidae"
"ncbi","Hemihenlea",NA,NA,NA,NA
"ncbi","Cognettia","Annelida","Clitellata","Enchytraeida","Enchytraeidae"
"ncbi","Achaeta","Annelida","Clitellata","Crassiclitellata","Megascolecidae"
"ncbi","Geophilidae","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae"
"ncbi","Glomeris","Arthropoda","Diplopoda","Glomerida","Glomeridae"
"ncbi","Julidae","Arthropoda","Diplopoda","Julida","Julidae"
"ncbi","Polydesmida","Arthropoda","Diplopoda","Polydesmida",NA
"ncbi","Armadillidium","Arthropoda","Malacostraca","Isopoda","Armadillidiidae"
"ncbi","Burmoniscus","Arthropoda","Malacostraca","Isopoda","Philosciidae"
"ncbi","Cylisticus","Arthropoda","Malacostraca","Isopoda","Cylisticidae"
"ncbi","Oniscus","Arthropoda","Malacostraca","Isopoda","Oniscidae"
"ncbi","Orodillo",NA,NA,NA,NA
"ncbi","Philoscia","Arthropoda","Malacostraca","Isopoda","Philosciidae"
"ncbi","Philosciidae","Arthropoda","Malacostraca","Isopoda","Philosciidae"
"ncbi","Porcellio","Arthropoda","Malacostraca","Isopoda","Porcellionidae"
"ncbi","Porcellionides","Arthropoda","Malacostraca","Isopoda","Porcellionidae"
"ncbi","Spherillo","Arthropoda","Malacostraca","Isopoda","Armadillidae"
"ncbi","Trachelipus","Arthropoda","Malacostraca","Isopoda","Trachelipodidae"
"ncbi","Isopoda","Arthropoda","Malacostraca","Isopoda",NA
"ncbi","Tetranychus","Arthropoda","Arachnida","Trombidiformes","Tetranychidae"
"ncbi","Phytoseiulus","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae"
"ncbi","Pardosa","Arthropoda","Arachnida","Araneae","Lycosidae"
"ncbi","Alopecosa","Arthropoda","Arachnida","Araneae","Lycosidae"
"ncbi","Pirata","Arthropoda","Arachnida","Araneae","Lycosidae"
"ncbi","Pisaura","Arthropoda","Arachnida","Araneae","Pisauridae"
"ncbi","Salticus","Arthropoda","Arachnida","Araneae","Salticidae"
